Czas[s];Temperatura[C];Moc[W]
227,5;20,9998;0
228;21,0782;10 000
228,5;21,0556;0
229;21,0329;0
229,5;21,0103;0
230;20,9876;0
230,5;21,0661;10 000
231;21,0434;0
231,5;21,0208;0
232;20,9981;0
232,5;21,0766;10 000
233;21,0539;0
233,5;21,0313;0
234;21,0086;0
234,5;20,986;0
235;21,0644;10 000
235,5;21,0418;0
236;21,0191;0
236,5;20,9965;0
237;21,0749;10 000
237,5;21,0523;0
238;21,0296;0
238,5;21,007;0
239;20,9843;0
239,5;21,0628;10 000
240;21,0401;0
240,5;21,0175;0
241;20,9948;0
241,5;21,0733;10 000
242;21,0506;0
242,5;21,028;0
243;21,0053;0
243,5;20,9827;0
244;21,0612;10 000
244,5;21,0385;0
245;21,0159;0
245,5;20,9932;0
246;21,0717;10 000
246,5;21,049;0
247;21,0264;0
247,5;21,0037;0
248;20,9811;0
248,5;21,0596;10 000
249;21,0369;0
249,5;21,0142;0
250;20,9916;0
250,5;21,0701;10 000
251;21,0474;0
251,5;21,0247;0
252;21,0021;0
252,5;20,9795;0
253;21,0579;10 000
253,5;21,0353;0
254;21,0126;0
254,5;20,99;0
255;21,0685;10 000
255,5;21,0458;0
256;21,0231;0
256,5;21,0005;0
257;20,9779;0
257,5;21,0563;10 000
258;21,0337;0
258,5;21,011;0
259;20,9884;0
259,5;21,0669;10 000
260;21,0442;0
260,5;21,0215;0
261;20,9989;0
261,5;21,0774;10 000
262;21,0547;0
262,5;21,032;0
263;21,0094;0
263,5;20,9867;0
264;21,0652;10 000
264,5;21,0425;0
265;21,0199;0
265,5;20,9972;0
266;21,0757;10 000
266,5;21,053;0
267;21,0304;0
267,5;21,0077;0
268;20,9851;0
268,5;21,0636;10 000
269;21,0409;0
269,5;21,0182;0
270;20,9956;0
270,5;21,0741;10 000
271;21,0514;0
271,5;21,0287;0
272;21,0061;0
272,5;20,9835;0
273;21,0619;10 000
273,5;21,0393;0
274;21,0166;0
274,5;20,994;0
275;21,0724;10 000
275,5;21,0498;0
276;21,0271;0
276,5;21,0045;0
277;20,9818;0
277,5;21,0603;10 000
278;21,0376;0
278,5;21,015;0
279;20,9923;0
279,5;21,0708;10 000
280;21,0481;0
280,5;21,0255;0
281;21,0028;0
281,5;20,9802;0
282;21,0587;10 000
282,5;21,036;0
283;21,0134;0
283,5;20,9907;0
284;21,0692;10 000
284,5;21,0465;0
285;21,0239;0
285,5;21,0012;0
286;20,9786;0
286,5;21,0571;10 000
287;21,0344;0
287,5;21,0118;0
288;20,9891;0
288,5;21,0676;10 000
289;21,0449;0
289,5;21,0223;0
290;20,9996;0
290,5;21,0781;10 000
291;21,0554;0
291,5;21,0327;0
292;21,0101;0
292,5;20,9875;0
293;21,0659;10 000
293,5;21,0433;0
294;21,0206;0
294,5;20,998;0
295;21,0764;10 000
295,5;21,0538;0
296;21,0311;0
296,5;21,0084;0
297;20,9858;0
297,5;21,0643;10 000
298;21,0416;0
298,5;21,019;0
299;20,9963;0
299,5;21,0748;10 000
300;21,0521;0
300,5;21,0295;0
301;21,0068;0
301,5;20,9842;0
302;21,0626;10 000
302,5;21,04;0
303;21,0173;0
303,5;20,9947;0
304;21,0732;10 000
304,5;21,0505;0
305;21,0278;0
305,5;21,0052;0
306;20,9825;0
306,5;21,061;10 000
307;21,0384;0
307,5;21,0157;0
308;20,9931;0
308,5;21,0715;10 000
309;21,0489;0
309,5;21,0262;0
310;21,0036;0
310,5;20,9809;0
311;21,0594;10 000
311,5;21,0367;0
312;21,0141;0
312,5;20,9914;0
313;21,0699;10 000
313,5;21,0472;0
314;21,0246;0
314,5;21,0019;0
315;20,9793;0
315,5;21,0578;10 000
316;21,0351;0
316,5;21,0125;0
317;20,9898;0
317,5;21,0683;10 000
318;21,0456;0
318,5;21,023;0
319;21,0003;0
319,5;20,9777;0
320;21,0562;10 000
320,5;21,0335;0
321;21,0109;0
321,5;20,9882;0
322;21,0667;10 000
322,5;21,044;0
323;21,0214;0
323,5;20,9987;0
324;21,0772;10 000
324,5;21,0545;0
325;21,0319;0
325,5;21,0092;0
326;20,9866;0
326,5;21,065;10 000
327;21,0424;0
327,5;21,0197;0
328;20,9971;0
328,5;21,0756;10 000
329;21,0529;0
329,5;21,0302;0
330;21,0076;0
330,5;20,9849;0
331;21,0634;10 000
331,5;21,0407;0
332;21,0181;0
332,5;20,9954;0
333;21,0739;10 000
333,5;21,0512;0
334;21,0286;0
334,5;21,0059;0
335;20,9833;0
335,5;21,0618;10 000
336;21,0391;0
336,5;21,0165;0
337;20,9938;0
337,5;21,0723;10 000
338;21,0496;0
338,5;21,027;0
339;21,0043;0
339,5;20,9817;0
340;21,0601;10 000
340,5;21,0375;0
341;21,0148;0
341,5;20,9922;0
342;21,0707;10 000
342,5;21,048;0
343;21,0253;0
343,5;21,0027;0
344;20,9801;0
344,5;21,0585;10 000
345;21,0359;0
345,5;21,0132;0
346;20,9906;0
346,5;21,069;10 000
347;21,0464;0
347,5;21,0237;0
348;21,0011;0
348,5;20,9784;0
349;21,0569;10 000
349,5;21,0343;0
350;21,0116;0
350,5;20,989;0
351;21,0674;10 000
351,5;21,0448;0
352;21,0221;0
352,5;20,9995;0
353;21,0779;10 000
353,5;21,0553;0
354;21,0326;0
354,5;21,01;0
355;20,9873;0
355,5;21,0658;10 000
356;21,0431;0
356,5;21,0205;0
357;20,9978;0
357,5;21,0763;10 000
358;21,0536;0
358,5;21,0309;0
359;21,0083;0
359,5;20,9857;0
360;21,0641;10 000
360,5;21,0415;0
361;21,0188;0
361,5;20,9962;0
362;21,0746;10 000
362,5;21,052;0
363;21,0293;0
363,5;21,0067;0
364;20,984;0
364,5;21,0625;10 000
365;21,0398;0
365,5;21,0172;0
366;20,9945;0
366,5;21,073;10 000
367;21,0503;0
367,5;21,0277;0
368;21,005;0
368,5;20,9824;0
369;21,0609;10 000
369,5;21,0382;0
370;21,0156;0
370,5;20,9929;0
371;21,0714;10 000
371,5;21,0487;0
372;21,0261;0
372,5;21,0034;0
373;20,9808;0
373,5;21,0592;10 000
374;21,0366;0
374,5;21,0139;0
375;20,9913;0
375,5;21,0698;10 000
376;21,0471;0
376,5;21,0244;0
377;21,0018;0
377,5;20,9792;0
378;21,0576;10 000
378,5;21,035;0
379;21,0123;0
379,5;20,9897;0
380;21,0681;10 000
380,5;21,0455;0
381;21,0228;0
381,5;21,0002;0
382;20,9776;0
382,5;21,056;10 000
383;21,0334;0
383,5;21,0107;0
384;20,9881;0
384,5;21,0665;10 000
385;21,0439;0
385,5;21,0212;0
386;20,9986;0
386,5;21,077;10 000
387;21,0544;0
387,5;21,0317;0
388;21,0091;0
388,5;20,9864;0
389;21,0649;10 000
389,5;21,0422;0
390;21,0196;0
390,5;20,9969;0
391;21,0754;10 000
391,5;21,0527;0
392;21,0301;0
392,5;21,0074;0
393;20,9848;0
393,5;21,0633;10 000
394;21,0406;0
394,5;21,0179;0
395;20,9953;0
395,5;21,0738;10 000
396;21,0511;0
396,5;21,0284;0
397;21,0058;0
397,5;20,9832;0
398;21,0616;10 000
398,5;21,039;0
399;21,0163;0
399,5;20,9937;0
400;21,0721;10 000
400,5;21,0495;0
401;21,0268;0
401,5;21,0042;0
402;20,9815;0
402,5;21,06;10 000
403;21,0373;0
403,5;21,0147;0
404;20,9921;0
404,5;21,0705;10 000
405;21,0478;0
405,5;21,0252;0
406;21,0025;0
406,5;20,9799;0
407;21,0584;10 000
407,5;21,0357;0
408;21,0131;0
408,5;20,9904;0
409;21,0689;10 000
409,5;21,0462;0
410;21,0236;0
410,5;21,0009;0
411;20,9783;0
411,5;21,0568;10 000
412;21,0341;0
412,5;21,0115;0
413;20,9888;0
