Czas[s];Temperatura[C];Moc[W]
176,5;20,9836;2 241,76
177;20,9837;2 241,79
177,5;20,9837;2 241,75
178;20,9837;2 241,78
178,5;20,9838;2 241,72
179;20,9838;2 241,74
179,5;20,9839;2 241,76
180;20,9839;2 241,77
180,5;20,9839;2 241,78
181;20,984;2 241,7
181,5;20,984;2 241,71
182;20,9841;2 241,7
182,5;20,9841;2 241,69
183;20,9841;2 241,68
183,5;20,9842;2 241,66
184;20,9842;2 241,64
184,5;20,9843;2 241,62
185;20,9843;2 241,59
185,5;20,9843;2 241,64
186;20,9844;2 241,59
186,5;20,9844;2 241,63
187;20,9845;2 241,59
187,5;20,9845;2 241,62
188;20,9845;2 241,64
188,5;20,9846;2 241,58
189;20,9846;2 241,6
189,5;20,9847;2 241,61
190;20,9847;2 241,62
190,5;20,9847;2 241,63
191;20,9848;2 241,63
191,5;20,9848;2 241,63
192;20,9848;2 241,62
192,5;20,9849;2 241,61
193;20,9849;2 241,6
193,5;20,985;2 241,58
194;20,985;2 241,56
194,5;20,985;2 241,53
195;20,9851;2 241,5
195,5;20,9851;2 241,47
196;20,9851;2 241,43
196,5;20,9852;2 241,47
197;20,9852;2 241,42
197,5;20,9853;2 241,45
198;20,9853;2 241,48
198,5;20,9853;2 241,42
199;20,9854;2 241,44
199,5;20,9854;2 241,45
200;20,9854;2 241,46
200,5;20,9855;2 241,47
201;20,9855;2 241,47
201,5;20,9855;2 241,47
202;20,9856;2 241,47
202,5;20,9856;2 241,46
203;20,9857;2 241,45
203,5;20,9857;2 241,43
204;20,9857;2 241,41
204,5;20,9858;2 241,39
205;20,9858;2 241,36
205,5;20,9858;2 241,33
206;20,9859;2 241,3
206,5;20,9859;2 241,34
207;20,9859;2 241,3
207,5;20,986;2 241,34
208;20,986;2 241,28
208,5;20,986;2 241,31
209;20,9861;2 241,33
209,5;20,9861;2 241,27
210;20,9862;2 241,29
210,5;20,9862;2 241,3
211;20,9862;2 241,31
211,5;20,9863;2 241,31
212;20,9863;2 241,32
212,5;20,9863;2 241,31
213;20,9864;2 241,31
213,5;20,9864;2 241,3
214;20,9864;2 241,29
214,5;20,9865;2 241,27
215;20,9865;2 241,25
215,5;20,9865;2 241,23
216;20,9866;2 241,2
216,5;20,9866;2 241,17
217;20,9866;2 241,14
217,5;20,9867;2 241,18
218;20,9867;2 241,14
218,5;20,9867;2 241,17
219;20,9868;2 241,2
219,5;20,9868;2 241,15
220;20,9868;2 241,18
220,5;20,9869;2 241,2
221;20,9869;2 241,13
221,5;20,9869;2 241,15
222;20,987;2 241,16
222,5;20,987;2 241,17
223;20,987;2 241,17
223,5;20,9871;2 241,17
224;20,9871;2 241,17
224,5;20,9871;2 241,16
225;20,9872;2 241,15
225,5;20,9872;2 241,14
226;20,9872;2 241,12
226,5;20,9873;2 241,1
227;20,9873;2 241,08
227,5;20,9873;2 241,05
228;20,9874;2 241,02
228,5;20,9874;2 240,99
229;20,9874;2 241,04
229,5;20,9874;2 241
230;20,9875;2 241,03
230,5;20,9875;2 240,99
231;20,9875;2 241,02
231,5;20,9876;2 241,04
232;20,9876;2 240,98
232,5;20,9876;2 241,01
233;20,9877;2 241,02
233,5;20,9877;2 241,04
234;20,9877;2 241,05
234,5;20,9878;2 240,97
235;20,9878;2 240,98
235,5;20,9878;2 240,98
236;20,9878;2 240,98
236,5;20,9879;2 240,97
237;20,9879;2 240,96
237,5;20,9879;2 240,95
238;20,988;2 240,94
238,5;20,988;2 240,92
239;20,988;2 240,9
239,5;20,9881;2 240,88
240;20,9881;2 240,85
240,5;20,9881;2 240,9
241;20,9881;2 240,86
241,5;20,9882;2 240,91
242;20,9882;2 240,86
242,5;20,9882;2 240,9
243;20,9883;2 240,85
243,5;20,9883;2 240,89
244;20,9883;2 240,83
244,5;20,9884;2 240,86
245;20,9884;2 240,88
245,5;20,9884;2 240,9
246;20,9884;2 240,83
246,5;20,9885;2 240,85
247;20,9885;2 240,85
247,5;20,9885;2 240,86
248;20,9886;2 240,86
248,5;20,9886;2 240,86
249;20,9886;2 240,86
249,5;20,9886;2 240,85
250;20,9887;2 240,84
250,5;20,9887;2 240,83
251;20,9887;2 240,82
251,5;20,9888;2 240,8
252;20,9888;2 240,78
252,5;20,9888;2 240,76
253;20,9888;2 240,73
253,5;20,9889;2 240,7
254;20,9889;2 240,75
254,5;20,9889;2 240,71
255;20,989;2 240,76
255,5;20,989;2 240,71
256;20,989;2 240,75
256,5;20,989;2 240,7
257;20,9891;2 240,73
257,5;20,9891;2 240,76
258;20,9891;2 240,7
258,5;20,9891;2 240,73
259;20,9892;2 240,74
259,5;20,9892;2 240,76
260;20,9892;2 240,69
260,5;20,9893;2 240,7
261;20,9893;2 240,71
261,5;20,9893;2 240,71
262;20,9893;2 240,71
262,5;20,9894;2 240,71
263;20,9894;2 240,71
263,5;20,9894;2 240,7
264;20,9894;2 240,69
264,5;20,9895;2 240,68
265;20,9895;2 240,66
265,5;20,9895;2 240,65
266;20,9895;2 240,63
266,5;20,9896;2 240,6
267;20,9896;2 240,58
267,5;20,9896;2 240,55
268;20,9897;2 240,6
268,5;20,9897;2 240,56
269;20,9897;2 240,61
269,5;20,9897;2 240,56
270;20,9898;2 240,6
270,5;20,9898;2 240,56
271;20,9898;2 240,59
271,5;20,9898;2 240,54
272;20,9899;2 240,57
272,5;20,9899;2 240,59
273;20,9899;2 240,61
273,5;20,9899;2 240,55
274;20,99;2 240,56
274,5;20,99;2 240,58
275;20,99;2 240,59
275,5;20,99;2 240,59
276;20,9901;2 240,6
276,5;20,9901;2 240,6
277;20,9901;2 240,6
277,5;20,9901;2 240,6
278;20,9902;2 240,59
278,5;20,9902;2 240,59
279;20,9902;2 240,58
279,5;20,9902;2 240,56
280;20,9903;2 240,55
280,5;20,9903;2 240,53
281;20,9903;2 240,51
281,5;20,9903;2 240,49
282;20,9904;2 240,46
282,5;20,9904;2 240,44
283;20,9904;2 240,41
283,5;20,9904;2 240,46
284;20,9904;2 240,42
284,5;20,9905;2 240,46
285;20,9905;2 240,42
285,5;20,9905;2 240,46
286;20,9905;2 240,41
286,5;20,9906;2 240,44
287;20,9906;2 240,39
287,5;20,9906;2 240,42
288;20,9906;2 240,44
288,5;20,9907;2 240,46
289;20,9907;2 240,4
289,5;20,9907;2 240,42
290;20,9907;2 240,43
290,5;20,9908;2 240,44
291;20,9908;2 240,45
291,5;20,9908;2 240,46
292;20,9908;2 240,38
292,5;20,9908;2 240,39
293;20,9909;2 240,39
293,5;20,9909;2 240,39
294;20,9909;2 240,38
294,5;20,9909;2 240,37
295;20,991;2 240,37
295,5;20,991;2 240,35
296;20,991;2 240,34
296,5;20,991;2 240,32
297;20,9911;2 240,3
297,5;20,9911;2 240,28
298;20,9911;2 240,26
298,5;20,9911;2 240,31
299;20,9911;2 240,28
299,5;20,9912;2 240,33
300;20,9912;2 240,3
300,5;20,9912;2 240,26
301;20,9912;2 240,31
301,5;20,9913;2 240,26
302;20,9913;2 240,3
302,5;20,9913;2 240,26
303;20,9913;2 240,29
303,5;20,9913;2 240,32
304;20,9914;2 240,27
304,5;20,9914;2 240,3
305;20,9914;2 240,32
305,5;20,9914;2 240,26
306;20,9914;2 240,28
306,5;20,9915;2 240,3
307;20,9915;2 240,31
307,5;20,9915;2 240,24
308;20,9915;2 240,26
308,5;20,9916;2 240,26
309;20,9916;2 240,27
309,5;20,9916;2 240,27
310;20,9916;2 240,27
310,5;20,9916;2 240,27
311;20,9917;2 240,27
311,5;20,9917;2 240,26
312;20,9917;2 240,26
312,5;20,9917;2 240,25
313;20,9917;2 240,24
313,5;20,9918;2 240,22
314;20,9918;2 240,21
314,5;20,9918;2 240,19
315;20,9918;2 240,17
315,5;20,9918;2 240,15
316;20,9919;2 240,12
316,5;20,9919;2 240,18
317;20,9919;2 240,14
317,5;20,9919;2 240,11
318;20,9919;2 240,16
318,5;20,992;2 240,12
319;20,992;2 240,17
319,5;20,992;2 240,13
320;20,992;2 240,17
320,5;20,992;2 240,12
321;20,9921;2 240,16
321,5;20,9921;2 240,11
322;20,9921;2 240,14
322,5;20,9921;2 240,17
323;20,9921;2 240,11
323,5;20,9922;2 240,14
324;20,9922;2 240,16
324,5;20,9922;2 240,09
325;20,9922;2 240,11
325,5;20,9922;2 240,13
326;20,9923;2 240,14
326,5;20,9923;2 240,15
327;20,9923;2 240,16
327,5;20,9923;2 240,09
328;20,9923;2 240,1
328,5;20,9924;2 240,1
329;20,9924;2 240,1
329,5;20,9924;2 240,1
330;20,9924;2 240,1
330,5;20,9924;2 240,09
331;20,9925;2 240,08
331,5;20,9925;2 240,08
332;20,9925;2 240,07
332,5;20,9925;2 240,05
333;20,9925;2 240,04
333,5;20,9926;2 240,02
334;20,9926;2 240
334,5;20,9926;2 239,98
335;20,9926;2 240,04
335,5;20,9926;2 240,02
336;20,9926;2 239,99
336,5;20,9927;2 240,04
337;20,9927;2 240,01
337,5;20,9927;2 239,98
338;20,9927;2 240,03
338,5;20,9927;2 239,99
339;20,9928;2 240,03
339,5;20,9928;2 239,99
340;20,9928;2 240,03
340,5;20,9928;2 239,98
341;20,9928;2 240,02
341,5;20,9928;2 239,97
342;20,9929;2 240
342,5;20,9929;2 239,95
343;20,9929;2 239,98
343,5;20,9929;2 240
344;20,9929;2 240,02
344,5;20,993;2 239,96
345;20,993;2 239,99
345,5;20,993;2 240
346;20,993;2 240,02
346,5;20,993;2 239,95
347;20,993;2 239,97
347,5;20,9931;2 239,98
348;20,9931;2 239,98
348,5;20,9931;2 239,99
349;20,9931;2 239,99
349,5;20,9931;2 240
350;20,9931;2 240
350,5;20,9932;2 240
351;20,9932;2 239,99
351,5;20,9932;2 239,99
352;20,9932;2 239,98
352,5;20,9932;2 239,98
353;20,9932;2 239,97
353,5;20,9933;2 239,96
354;20,9933;2 239,94
354,5;20,9933;2 239,93
355;20,9933;2 239,91
355,5;20,9933;2 239,89
356;20,9933;2 239,88
356,5;20,9934;2 239,85
357;20,9934;2 239,83
357,5;20,9934;2 239,89
358;20,9934;2 239,86
358,5;20,9934;2 239,83
359;20,9934;2 239,88
359,5;20,9935;2 239,84
360;20,9935;2 239,89
360,5;20,9935;2 239,85
361;20,9935;2 239,82
361,5;20,9935;2 239,86
362;20,9935;2 239,82
362,5;20,9936;2 239,85
363;20,9936;2 239,81
363,5;20,9936;2 239,84
364;20,9936;2 239,87
364,5;20,9936;2 239,82
